昵称,id,学历,学校,学院,专业,经验,简介
Echo Lee,58f0600ed0a0628c143c3e1e,学生,北京外国语大学,计算机系,Business Administation / Management Science,文科学校想读商科的工科生,
David.Hwang,58f0340a6695f4746b04d925,Undergraduate,XiangTan University,Business school,Business Administation / Management Science,求真之道，求美之路。吾将上下而求索！,
bruce,58ef9827d0a0628c143c3e08,教师,科研,金融学院,Economics / Finance,逛逛，顺便下点文献,杂七杂八都有一点涉及
刘欣冉,58ef4c0e6695f4746b04d8cb,学生,山东大学,经济学院,Economics / Finance,我们一路奋战，不是为了改变世界，而是为了自己不让世界改变。,"1.大一开始做英文presentation并且写简单英文论文。
2.大二开始接触paper  review
3.共写过五篇working paper"
ZERO,58eef64fd0a0628c143c3dc4,学生,福州大学,经济与管理学院,Economics / Finance,,
小马哥,58eeee3f6695f4746b04d8c9,博士,重庆高校,大学,Psychology,心理学博士，从事网络心理学研究,主要从事网络心理学、认知心理学研究。
Cindy张,58eec40b6695f4746b04d8ba,硕士,华中师范大学,心理学院,Psychology,心理学硕士,
Sun Ying,58ee5c94d0a0628c143c3db8,研究生,英国,leeds,Economics / Finance,International Trade Finance,论文
岳纳珊,58ee47ddd0a0628c143c3db7,硕士研究生在读,中国政法大学,,Business Administation / Management Science,法商管理方向，研究爱好者。,
caroline,58ee16b0d0a0628c143c3dac,博士生,浙江大学,,Economics / Finance,,
sarah LI,58edf4ea6695f4746b04d808,博士生,中山大学,管理学院,Economics,一个不断奔跑的研究者,
杨书燕,58ede1f16695f4746b04d805,博士生,华南理工大学,工商管理学院,Business Administation / Management Science,奔跑中的研究人,
王小沐要加油,58edd74f6695f4746b04d804,PhD student,NUS,School of Computing,Social Sciences,"I love research, research loves me.",
猪贝妞,58ececf66695f4746b04d7eb,硕士研究生,天津师范大学,教育科学学院 发展与教育心理学,Psychology,在校心理学研究生一枚（研一），想做注视线索提示效应，老板搞得是记忆。。。所以貌似得自力更生,"心理学本科，心理学研究生。。。但始终觉得自己就是个小白。。。
本科毕业论文做注视提示效应与情绪的关系，研究生想继续做，但不知道怎么下手。。。"
Jack Huang,58eccb00c29f950e47dc0607,博士,南开大学,商学院,Business Administation / Management Science,,
罗慢慢,58ecc6b2c29f950e47dc0606,研究生,安徽师范大学,教育科学学院,,做什么都很慢。。还有点自恋,
彭超,58ecb9406695f4746b04d7e4,长春,吉林大学,,Biological Sciences,少年人，人生还有很长呢，你以后一定会遇到更好的人和事的！加油！,
夏日未语,58ecbd21c29f950e47dc0603,研究生,四川大学,商学院,Business Administation / Management Science,挣扎中的学渣,
Cheryl Chen,58ec48fc6695f4746b04d7bc,学生,汕头大学,商学院,Business Administation / Management Science,不正经的书呆子。,
Zili_G,58ec357fc29f950e47dc05ea,博士生,重庆大学,经济与工商管理学院,Business Administation / Management Science,To be Better,
wintolife,58ec2bfbc29f950e47dc05d8,硕士,GIMC,GMD,Business Administation / Management Science,传播学、金融学、广告学、品牌,创新型企业研究 广告 品牌 传媒战略研究
dreamwithdream,58eb86f8c29f950e47dc05d3,学生,对外经济贸易大学,国际经济贸易学院,Economics,major in Economics,
林一龙,58ea3c22c29f950e47dc051f,学生，科研助理,江西财经大学鄱阳湖生态经济研究院,江西财经大学国际学院,Economics,爱好很多，没有专长,can
林,58ea1258c29f950e47dc04ea,学生,山东大学,管理学院,Social Sciences,没有,
Zexiz,58e9d6396695f4746b04d6ae,研究生,武汉大学,经济与管理学院,Economics,Be kind and not mean.,
夏让,58e8f4c7c29f950e47dc04e6,研究生,浙江师范大学,教师教育学院,Psychology,,
奈奈mimo,58e8c4e2c29f950e47dc03b2,学生,深圳大学,心理与社会学院,Psychology,,
Zoran Jin,58e8c42a6695f4746b04d6a9,Undergraduate student,,Department of IM&MS,Arts and Literature,The best of times? Or the worst of times? It's up to ourselves.,
lucy lee,58e769a7c29f950e47dc02b5,学生,中山大学,管理学院,,,
飞杳杳,58e81bc76695f4746b04d65a,博士研究生,大学,经济管理学院,,博士,
樊建锋,58e74abf6695f4746b04d56a,教授,五邑大学,经济管理学院,Business Administation / Management Science,广东省五邑大学经济管理学院，研究方向：企业社会责任、社会创业、网络营销,
安安,58e7220cc29f950e47dc02a4,研究生,华东师范大学,心理学院,Psychology,心理学研究生，决策方向是兴趣点,
Allowell,58e6f9a36695f4746b04d564,博士,湖南大学,物理院,Materials Science,二维材料光催化研究,
木杉,58e70e39c29f950e47dc02a3,博士生,复旦大学,经济学院,Economics,不是一只狗,
jjt,58e618d4c29f950e47dc0249,学生,华南理工大学,工商管理学院,Business Administation / Management Science,,
bfqdl,58e5efcb6695f4746b04d543,学生,安徽财经大学,会计学院,Economics / Finance,,
leocat,58e5c2db6695f4746b04d53f,学生,暨南大学,新闻与传播学院,Social Sciences,传播学人。,
RIRIYANG,58e59d75c29f950e47dc0234,学生,对外经济贸易大学,国际商学院,Economics / Finance,STUDENT IN UIBE,
Mrchs,58e5b63d6695f4746b04d536,工程师,雅克设计有限公司,建筑院,Design,给水排水工程师,
陆洋,58e5183e6695f4746b04d531,博士生,上海交通大学,安泰经济与管理学院,Business Administation / Management Science,研究营销战略、消费者行为和旅游企业管理,
毕业声声催人老,58e385fcc29f950e47dc0222,学生,重庆大学,经管学院,Business Administation / Management Science,再不毕业就老了~~~,
yuan,58e33efa6695f4746b04d523,学生,浙江大学,经济学院,Economics / Finance,study hard & keep going,
懒猫一个,58e2f84fc29f950e47dc020d,学生,,管理学院,Arts and Literature,胆子大一点，世界都是你的,
King,58e1e5f16695f4746b04d504,硕士,华南理工大学,工商管理学院,Business Administation / Management Science,"Stay hungry , stay fool .",无
大森林,58e0553ec29f950e47dc01ab,博士生,武汉大学,信息管理学院,Social Sciences,武汉大学,
屈雄雄,58dfa39dc29f950e47dc01a8,学生,陕西师范大学,国际商学院,Business Administation / Management Science,对科研感兴趣，对人力资源管理感兴趣，当然，对公司治理、商业模式、区块链也喜欢,工作过，刚上研究生，根据工作体会，觉得HR个人比较喜欢
Hallie,58df70816695f4746b04d463,学生,鲁东大学,教育科学学院,Psychology,心理学专业，小白，谦卑地求知,
蔡素贞,58df4dad6695f4746b04d460,学生,厦门大学,王亚南经济研究院,Economics / Finance,科研新人,
李翔,58def4a96695f4746b04d45c,学生,北京大学,国家发展研究院,Economics / Finance,"北京大学国家发展研究院经济学 硕士生
西安交通大学核工程与核技术 学士",车载加速器中子源靶系统的设计
子鑫,58de4315c29f950e47dc008e,学生,中央财经大学,经济学院,Economics,经济学本科在读，兴趣：微观经济学，制度经济学，量化历史研究,经济学院院长、教授科研助理，国家基金科研项目参与者
施越,58de19a06695f4746b04d39e,学生,烟台大学,经济管理学院,,大四待毕业经济管理本科生，准备在汽车行业底层干起。,
朱,58ddff47c29f950e47dc0074,教授,东北财经大学,管理学院,Business Administation / Management Science,,
马源鸿,58ddeb1dc29f950e47dc0073,研究生,四川农业大学,商学院,Arts and Literature,四川成都,初入。
乐乐的太空,58dde01f6695f4746b04d390,学生,长治医学院,精神卫生系,Psychology,,
上财小分子,58ddd2b66695f4746b04d388,博士生,上海财经大学会计学院,,Social Sciences,从浙江的水乡走进了林业科学的殿堂，咬咬牙，又进入了上海财经大学的会计学殿堂，一路曲折一路欣喜！,
Mr.MO,58ddcf3c6695f4746b04d385,本科学子,重庆工商大学,社管学院,Social Sciences,undescribable,
Sophie,58dd0d54c29f950e47dc0057,学生,中大,商学院,Psychology,,
Czq,58dce6acc29f950e47dbfe94,学生,华中科技大学,管理学院,Economics,,
BrinksleyYang,58dcdeebc29f950e47dbfe93,学生,中山大学,管理学院（SYSBS）,Business Administation / Management Science,喜欢看看，经常想想，偶尔说说，不时写写,随意看看，暂无
北北,58dcdd17c29f950e47dbfe90,学生,学校,心理学院,Psychology,外语文献爱好者~,
小明不想看论文,58dcdafdc29f950e47dbfe8c,学生,法证大学,政策创造研究科,Psychology,,
Xiaoou Chen 陈小鸥,58dcbda5c29f950e47dbfe8a,硕士研究生在读,北京邮电大学,数字媒体与艺术设计学院,Computer and Information Science,"北京邮电大学 HCI 硕士研究生在读

",
璐璐小可爱~,58dcbc9d6695f4746b04d1a4,博士生,浙江大学,管理学院,Business Administation / Management Science,,
Shoujiang Zhou,58dba6f1c29f950e47dbfe45,学生,四川大学,商学院,Business Administation / Management Science,四川大学,
一沙一视界,58dba2496695f4746b04d156,学生,福建师范大学,教育学院,Psychology,福建师大,
Maggie Wang,58db6944c29f950e47dbfdb5,学生,The Chinese University of Hong Kong,School of Accountancy,Business Administation / Management Science,,
Yuhao ZHU,58da52866695f4746b04d111,Student,Shanghai Jiao Tong University,Shanghai Advanced Institute of Finance,Economics / Finance,Die luft der Freiheit weht,
李天真,58da32bcc29f950e47dbfd93,学生,苏州大学,商学院,Psychology,天真无邪活泼可爱,
王子元,58d94e9ac29f950e47dbfd85,学生,杜克大学,公共政策学院,Social Sciences,杜克大学在读硕士生,
samson,58d8a9bc6695f4746b04d0c5,博士生,中科院,植物研究所,Biological Sciences,珞珈山爬过山，雁栖湖游过水。研究僧,做过一些分子实验吧
杰,58d882b66695f4746b04d0c2,学生,徐州医科大学,基础医学院,Biological Sciences,,
swarchtz,58d882426695f4746b04d0c1,博士生,中山大学,管理学院,Economics / Finance,追逐真理，发现自我,
朱俊怡,58d779a7c29f950e47dbfd4c,学生,韩山师范学院,教育科学许愿,Psychology,心理学专业学生,
唐源,58d64cdc6695f4746b04d099,博士生,电子科技大学,经管学院,Business Administation / Management Science,博士一年级,刚刚进校不久
Belinda Liu 刘冰,58d51698c29f950e47dbfd39,硕士生,合肥工业大学,管理学院,Economics / Finance,硕士在读，创业投资，创业者决策逻辑，学术路上慢慢爬~,
舟涤,58d49852c29f950e47dbfba7,Researcher,THU,SEM,Economics / Finance,To be one of the solutions to the economic problem of the allocation of scarce resources.,"Economic Researcher in SEM, THU."
黄晟,58d490d9c29f950e47dbfba6,硕士生,浙江工业大学,机械学院,Environmental Sciences,,
Shiruosi ,58d47c956695f4746b04cf24,学生,华南师范大学,心理学院,Psychology,Psychology ,
闫佳慧,58d4777ac29f950e47dbfb8e,学生,包师院,心理系,Psychology,心理系学生,本科在读
Rachel Wang,58d3f52bc29f950e47dbfb87,学生,陕西师范大学,国际商学院,Business Administation / Management Science,善始善终,
朤齐,58d365a46695f4746b04cde4,学生,江南大学,化学与材料工程学院,,,
juju,58d3a52e6695f4746b04cded,博士生,浙江大学,公共管理学院,Business Administation / Management Science,,
Lura-J,58d32998c29f950e47dbfb61,学生,中南财经政法大学,工商管理学院,Business Administation / Management Science,研究生在读，对运营管理研究感兴趣,
Eric,58d329536695f4746b04cddd,学生,上海对外经贸大学,金融学院,Economics / Finance,,
朱炳璋,58d25e1fc29f950e47dbfa15,学生,哈尔滨工业大学,管理学院,Business Administation / Management Science,,
何明成,58d2354ec29f950e47dbf9dc,研究生,四川师范大学,教师教育与心理学院,Psychology,想从事认知神经科学方向的研究，目前为发展与教育心理学方向研究生！,本科物理学专业，硕士发展与教育心理学专业，已发表一篇中文核心，
sdjiangyong,58d22ce56695f4746b04cc7b,教授,山东大学,哲社学院,Philosophy,一个教师而已……,学校生，学校长，学校就是我的家，当好一名教师就是我一生的追求。
毁诩,58d227456695f4746b04cc79,学生,北京师范大学,经管学院,Economics,,
金金金小曼,58d2117a6695f4746b04cc75,,,,,学酥,
国儿,58d2093cc29f950e47dbf9cb,学生,上海立信会计金融学院,保险学院,,爱国 敬业 诚信 友善,自写论文
小昕,58d1ffe16695f4746b04cc71,博士,辽宁大学,商学院,Business Administation / Management Science,高校教师,
_Astronocean,58d1c27f6695f4746b04cc6f,学生,中国传媒大学,文化发展研究院,Social Sciences,亦余心之所善兮 虽九死其犹未悔,
玫昌,58d1b4f76695f4746b04cc6e,博士,韩国新罗大学,商学院,Business Administation / Management Science,,皮皮虾
小麦,58d0ec8fc29f950e47dbf984,学生,辅仁大学,心理所,Psychology,认知心理学硕士在读,
顾晓宇,58d0cdb96695f4746b04cc39,学生,,经济学院,Arts and Literature,金融学本科在读，考研备考中。,写过关于《新东方网校的营销策略》分析
张孟鹤,58d08cd0c29f950e47dbf957,学生,四川大学,公共管理学院,,信息学考研狗,
Lynguo,58d08c35c29f950e47dbf956,学生,广州大学,教育学院,Psychology,研究生在读,
林佳岳,58d07f9f6695f4746b04cc29,硕士生,哈尔滨工业大学,管理学院,Business Administation / Management Science,若不疯魔     不成活,
宋洪文,58cfc2f86695f4746b04cc0f,博士生,中科大,生科院,Psychology,研究领域：认知神经科学,
汪嘉倩,58cf9c2bc29f950e47dbf8bd,学生,北京大学,光华管理学院,,,
纯洁的小葵,58cf35246695f4746b04cbe1,博士,浙江大学,心理与行为科学系,Psychology,心理学博士，结合计算机建模方法探索视觉过程。,
张情,58ce4b3ac29f950e47dbf878,学生,浙江工商大学,工商管理,Business Administation / Management Science,以诗意裹腹，平凡度日,
何春霞,58ce26a6c29f950e47dbf867,学生,四川大学,基础医学院,Medicine,目前正在读生理学的研究生,小鼠血管平滑肌上的离子通道
白伯阳,58cdfd1f6695f4746b04cb0c,学生,武汉大学,经济与管理学院,Economics,市场设计师,
yangjing,58cdf2646695f4746b04cb0b,学生,天津大学,职教学院,Psychology,i love my life  and want to be a  interseting person.,
潘炎,58cd57976695f4746b04cb0a,博士生,西安交通大学,管理学院,Business Administation / Management Science,西安交通大学管理学博士在读 研究方向为创造力,
欧拉.熊,58cd1b67ac36b98b6b668d8c,Sir,波江文化,研究部,,天文、环境保护、科学教育方面研究人员,"神农架人与生态保护区   森林环保和天文历法教育
丹霞山世界地质公园   地质保护和科学教育开展
北京古观象台、南京紫金山天文台 古代天文仪器研究"
逃学书童,58ccd4ab6695f4746b04caaa,博士,大连理工大学,管理与经济学学部,Business Administation / Management Science,运营管理，电子商务,大连理工大学博士
耿靖轩,58cbbb996695f4746b04ca90,学生,哈尔滨工业大学,管理学院,Business Administation / Management Science,管理信息系统小学生一枚~,
崔锦峰,58cb9b82ac36b98b6b668cf3,硕士生,北京大学,经济学院,Economics,在读硕士研究生,
yogurt,58cb9a256695f4746b04ca87,硕士生,中山大学,岭南学院,Economics,"经济学小硕一枚～
",
小冰,58cb77aaac36b98b6b668cd9,博士,,管理学院,Business Administation / Management Science,收益管理，动态定价,
Haldis,58caafe9ac36b98b6b668cc6,硕士生,北京中医药大学,管理学院,,求索,
雕刻你的時光,58ca9df86695f4746b04ca54,学生,西南大学,蚕研所,Philosophy,生物小研,
陈晓晨,58ca855d6695f4746b04ca49,学生,中国人民公安大学,犯罪学学院,Psychology,热爱阅读和运动,论文《使用社交网络的动机对大学生情绪影响的研究》，第二作者，已被心理技术与应用杂志接收，发表在2016年第八期
大聪明,58ca7e8b6695f4746b04ca48,硕士研究生在读,天津师范大学发展与教育心理,教育科学,Psychology,在校心理学研究生一枚,研究生新生，还木有什么研究经历，帮着学姐做过实验的小白
Echo,58c9e0f26695f4746b04ca31,学生,广东工业大学,管理学院,Business Administation / Management Science,,
Mark Zhao,58c9acf46695f4746b04ca2e,Master,University of New Brunswick,Kinesiology,Sports and Recreation,"M.A. in Sport and Recreation Study, UNB",
Shengchao Zhao,58c92e23ac36b98b6b668c97,硕士,湖南大学,工商管理学院,Business Administation / Management Science,A graduate student major in Business Administration,
葛楠,58c8c5766695f4746b04c9e5,学生,北京大学,经济学院,Economics,还是一名努力学习的小砖工,
崩默默,58c8a5256695f4746b04c9e1,学生,华东师范大学,心理与认知学院,Psychology,心理学发烧友,
李德雄,58c89c1d6695f4746b04c9de,博士生,武汉大学,社会学系,Social Sciences,"青年教师,对社会心理与消费者行为以及定量模型感兴趣.",
Forrest Gui,58c8a4176695f4746b04c9e0,学生,中南财经政法大学,工商管理学院,Business Administation / Management Science,,
郑新德,58c833ef6695f4746b04c9dd,编辑,中欧商业评论,编辑部,Social Sciences,《中欧商业评论》编辑总监,
Anthony的理想国,58c7aabdac36b98b6b668b8d,学生,华中科技大学,经济学院,Economics / Finance,温柔而坚毅，果敢且从容。,
肖梦芹,58c7a5e3ac36b98b6b668b8c,硕士生,江西师范大学,心理学院,Psychology,外形绿茶婊，思想女流氓，心理学研究僧一枚。,
zzhunnie,58c734f06695f4746b04c9c4,学生,学校,包头医学院,Psychology,心理学本科生一枚，还在不断努力提升自己,
蕾,58c6fb066695f4746b04c9bf,教师,广州南洋理工职业学院,财经系,Business Administation / Management Science,没啥好介绍的，就酱紫,
cactus,58c67fbf6695f4746b04c9b4,学生,广东医科大学,人文与管理学院,Psychology,心理科普爱好者，hiphop迷妹,
Libby,58c66f9a6695f4746b04c9b2,研究生,东华大学,旭日工商管理学院,Business Administation / Management Science,"管理科学与工程
研究方向为金融系统仿真，金融系统性风险",
Yuhe_miao,58c63df96695f4746b04c9ae,硕士,华中科技大学,建规学院,Earth Sciences,,
Narcissus,58c660c56695f4746b04c9b1,学生,苏州大学,教育学院应用心理学,,hhhhh,
CherryLee,58c643526695f4746b04c9af,学生,浙江大学,理学院心理与行为科学系,Psychology,被编程碾压的心理狗,
jenny,58c6354b6695f4746b04c9ac,研究生,华中科技大学,市场营销,Social Sciences,,
刘书宇（EVAN）,58c5d4376695f4746b04c912,学生,吉林财经大学,人力资源管理,Psychology,吉林财经大学  人力资源管理  本科,还没有嘞
孙驰皓,58c383d8ac36b98b6b668a84,本科生,ZJU,计院,Design,一个玩设计的，却对人的行为学产生了兴趣，就是那么“跨”,
吧啦吧啦小黄鸭,58c2b91cac36b98b6b668a53,学生,云南大学,经济学院,Economics / Finance,我是一名研究生，专业是金融学，想和大家一起学习，学会更多。,
于是南问,58c25226ac36b98b6b668a46,学生,天津财经大学,研究生院,Economics / Finance,,
金毛二,58c244b76695f4746b04c7d1,硕士生,南京大学,信息管理学院,Computer and Information Science,南京大学信息管理学院在读研究生,
JOY WANG,58c22aa96695f4746b04c7c2,学生,重庆邮电大学,经济管理学院,Business Administation / Management Science,物流硕士研究生,
小纯君嘤嘤嘤,58c214a1ac36b98b6b668a31,学生,华师大,商学院,Economics / Finance,233,
梅子,58c1430cac36b98b6b668a20,学生,武汉大学,人力资源管理,Social Sciences,玫瑰，和文字。,
Yazhou,58c1623fac36b98b6b668a2a,教师,集美,电商,Business Administation / Management Science,喜欢创造力，创新等领域！,
Shizelong ,58c14f996695f4746b04c79f,博士,重庆大学,经济与工商管理学院,Economics / Finance,,
阿姚,58c10ca46695f4746b04c782,学生,武汉理工大学,经济学院,Economics,要写一篇创新驱动产业的文献综述小论文,
俞鸿雲,58c11765ac36b98b6b6689fd,高级研究员,东航集团,政策研究室,Business Administation / Management Science,政策研究,
宋源,58c0f418ac36b98b6b6689f6,学生,北京师范大学,心理学院,Psychology,赛客一名,
夏木,58c0c9dcac36b98b6b6689f1,本科,对外经贸大学,保险学院,Economics / Finance,大四论文狗,
"LAN,",58c0af056695f4746b04c75e,农学硕士,,,Biological Sciences,有三种简单而强大的情感主宰着我的一生:对爱的渴望、对真理的探求个对苦难大众的悲悯。@罗素,
tjcep,58c00ba4ac36b98b6b6689ba,教师,大学,经济学院,Economics,经济学,！
孙大鑫,58bfbf266695f4746b04c729,博士生,上海交通大学,安泰经济与管理学院,Business Administation / Management Science,上海交通大学创新与战略博士生,
辛晴,58be9fadac36b98b6b6688f8,本科生,华东师范大学,心理与认知科学学院,Education,个人喜欢看一些新闻以及心理学文章，对哲学，发展与教育心理学，社会心理学比较感兴趣。是一个爽朗阳光的人，很高兴认识更多的人，一起分享，有机会认识一下奥~,
史生强,58be7df96695f4746b04c6fb,管理咨询师,北大纵横,纵横商学院,Business Administation / Management Science,"现在：北大纵横咨询公司合伙人/资深管理咨询顾问
过去：自动化公司董事总经理，TOPS咨询公司总经理、首席咨询师，中旭企业管理咨询公司资深咨询师/项目经理，世界500强/美国/香港上市公司人力资源总监

","咨询服务及培训课程领域：
战略规划、商业模式、营销策划
集团管控、组织设计、岗位配置
薪酬/绩效管理、培训体系、
领导力/胜任力/素质模型、企业文化
城市/区域产业规划、产业园区规划、招商引资
投融资服务、企业改制、股权激励
市值管理、预算管理、成本管控、创业辅导
"
wuli,58be239c6695f4746b04c6ed,学生,华科大,经济学院,Economics / Finance,学习ing,。。。
,58be1a6bac36b98b6b6688cf,硕士,福州大学,经济与管理学院,Business Administation / Management Science,,
Crystal,58be11846695f4746b04c6e2,硕士,华中师范大学,信息管理学院,Computer and Information Science,情报学硕士,
Shaelee Sheng,58be085d6695f4746b04c6d8,研究生在读,SHUFE,SOE,Economics / Finance,初学者,
杨小红,58bcfa416695f4746b04c6c7,教师,西安工程大学,管理学院,Business Administation / Management Science,西安工程大学营销系教师,营销博士
ly,58bbc1456695f4746b04c6b5,研究生,北大,nsd,,nsd,
wangyuanqin,58bbb28bac36b98b6b66889d,学生,桂林理工大学,材料科学与工程学院,Materials Science,,
张亚会,58bb740eac36b98b6b668898,学生,哈尔滨工程大学,经济管理学院,Business Administation / Management Science,在校研究生，工商管理专业。,
青年张,58bacdb9ac36b98b6b668890,博士生,南京大学,商学院,Economics,虔诚求索,同求学经历
Garhin,58ba1b5aac36b98b6b66887d,教授,厦门大学,管理学院,Economics / Finance,,
Clarence,58b986d56695f4746b04c691,博士生,Northeastern University,Public Policy & Urban Affairs,Social Sciences,Public Policy，Public Finance，Urban Development，Government Regulation,
严亚广,58b97deb6695f4746b04c68f,学生,河南大学,商学院,Economics / Finance,会计专业学生,
xuanbaby,58b83a076695f4746b04c671,博士,华南理工大学,土木与交通学院,Psychology,可爱的我,
罗茜,58b81893ac36b98b6b6687a9,研究生,华南理工,旅游管理,Business Administation / Management Science,,
会记忆的诗,58b811c7ac36b98b6b6687a7,本科生,武汉大学,经济与管理学院,Social Sciences,对消费者行为学、广告心理学与传播学感兴趣，有相关学习、了解与研究。武汉大学经济与管理学院市场营销大三本科生，辅修武汉大学新闻与传播学院广告学双学位。,
邓萍峰,58b7b9f76695f4746b04c658,硕士,湖南大学,工商管理学院,Business Administation / Management Science,市场营销；分享经济；案例研究,研究生二年级在读，分享经济案例撰写中……
吴僭,58b77df1ac36b98b6b66877e,学生,贵州大学,农学院,Environmental Sciences,经济学爱好者。,经济学爱好者。
彭秋萍,58b7685eac36b98b6b66877d,学生,华南理工大学,工商管理学院,Social Sciences,华南理工大学硕士生,
葛万达,58b6c82c4b7e7fb63e62d52d,在读博士,吉林大学,商学院,,绿色消费行为,
xia,58b6d4194b7e7fb63e62d536,学生,太原理工大学,经济管理学院,Business Administation / Management Science,想读一下外国管理类期刊,
桑梓,58b556db7088f52c7ab720d7,硕士研究生,上海对外经贸大学,金融管理学院,Economics / Finance,,
Jiantao—Zhang,58b5323e7088f52c7ab720cf,博士生,辽宁大学,商学院,Business Administation / Management Science,辽宁大学商学院 博士研究生,
Steven Chang,58b4d6764b7e7fb63e62d3ea,学生,对外经贸大学,国际商学院,Business Administation / Management Science,"I AM A MBA STUDENT, I WOULD LIKE TO LEARN MORE INFORMATION ON MANAGEMENT AND BUSINESS, THANK YOU.",
林源榕,58b43e417088f52c7ab72056,博士生,华中科技大学,经济学院,Economics,,
王建成,58b3dd937088f52c7ab71f88,博士生,武汉大学,经济与管理学院,Economics,学弱博士在读一枚~,newly
李会计啊哈哈,58b2b3234b7e7fb63e62d170,学生,中央财经大学,会计学院,Economics / Finance,会计汉子一名,
朱文凤,58b27f4b7088f52c7ab71e1e,学生,西南大学,心理学,Psychology,热爱生活，坚持肯干,
stevephen余论,58b0c74c7088f52c7ab71c8f,,,,,关注宏观经济金融领域，当前主要学习制度经济增长方向,
RAY,58afde2d4b7e7fb63e62ceb9,学生,山东财经大学,工商管理学院,Business Administation / Management Science,山财大2016级,
开凯,58ae50f7a00c099c3e2ff5df,Research Assistant,University of Waterloo,Economics,Economics / Finance,Honours Mathematical Economics，Finance Specialization， Combinatoric Optimization Minor，University of Waterloo 兴趣：投资组合优化，机器学习预测消费者模型,"基于纳斯达克综合指数的科技集成投资组合优化
基于PEG与相关性的投资组合优化

"
Yolanda,58ae4dc1a00c099c3e2ff5de,博士,清华大学,,Economics / Finance,THUer,
Guodong,58ae21394b7e7fb63e62cdd3,博士,TZC,information,Business Administation / Management Science,从事小科研的小老师,
沙莎,58ada000a00c099c3e2ff5c9,教师,南京工业大学,经济管理学院,Business Administation / Management Science,职校老师,
Jim,58ad529ca00c099c3e2ff5b0,博士研究生,南开大学,商学院,Social Sciences,CB研究,
淼,58ad4bc0a00c099c3e2ff5af,硕士,工大,管理学院,Business Administation / Management Science,,
yin,58acc39da00c099c3e2ff520,副教授,浙江海洋大学,经济与管理学院,,一位努力学习的老学生。,
潘鹏程。,58ac631ba00c099c3e2ff51f,副教授。,燕山大学,建工学院,Business Administation / Management Science,燕山大学工程管理专业。,天津大学。
Ryan,58ab8ea6a00c099c3e2ff4f4,博士生,香港中文大学,心理学系,Psychology,,
Jimmer,58ab01364b7e7fb63e62cc68,学生,中南财经政法大学,金融学院,Economics / Finance,中南财经政法大学,参与社会调研
,58aaa248a00c099c3e2ff4db,博士生,哈尔滨工业大学,管理学院,Business Administation / Management Science,,
寇天天,58aa75dea00c099c3e2ff4d0,学生,吉林大学,管理学院,Linguistics,,
jack,58aa6df1a00c099c3e2ff4cf,硕士在读,天津大学,商学院,Economics,none,
Liseral,58aa5ffc4b7e7fb63e62cc4b,学生,上海大学,悉尼工商学院,Business Administation / Management Science,学术小白,
罗小夕,58a93dbe4b7e7fb63e62cc37,研究生,中国人民大学,数量经济学,Arts and Literature,经济学专业的好奇宝宝,
王红涛,58a9192f4b7e7fb63e62cc35,教师,新疆大学,经济与管理学院,Economics,,
程志辉,58a90da54b7e7fb63e62cc34,博士,中南财经政法大学,工商管理学院,Business Administation / Management Science,我是来自中南财经政法大学企业管理专业博士研究生,
蔡祺玥Catherine,58a812224b7e7fb63e62cc22,本科生,清华大学,心理系,Psychology,心理学在读,
Landowph,58a776974b7e7fb63e62cc20,博士生,图宾根大学,认识神经生物系,Biological Sciences,图宾根大学 认知神经科学博士在读,本科专业为生物化学与分子生物学，硕士课题为神经干细胞与胶质细胞，博士课题为猕猴镜像神经元电生理研究
Zhiwei Su,58a71e094b7e7fb63e62cc1e,PhD,清华大学,五道口金融学院,Arts and Literature,(ง •̀_•́)ง,
坚鹏,58a6fd58a00c099c3e2ff453,高级合伙人,北大纵横管理咨询集团,金融行业中心,Business Administation / Management Science,中小银行专家，互联网金融专家，北大纵横管理咨询集团金融行业中心总经理，2015年十大战略管理专家,出版金融行业书籍7本
万古,58a6bfeba00c099c3e2ff44d,博士生,高校,经济学院,Economics,经济学PHD学生,目前在做产业规制和环境规制方面的论文
Lareina_Lu,58a6ac554b7e7fb63e62cbff,研究生在读,华中师范大学,,,,
gen jiang,58a66f2e4b7e7fb63e62cbef,本科生,复旦大学,经济学院,Economics,,
聂卓,58a5d0134b7e7fb63e62cbdb,本科生,北京大学,北京大学国家发展研究院,Economics,念的是经济学教材，希望做的是政治经济学研究，平常看的还有社会学历史学人类学读物。喜欢讨论，喜欢争论，不求胜负，不怕出丑，只求对问题更深入的理解。喜欢念书，也喜欢运动和旅行。,研究过县级层面党员占比与饥荒死亡率的关系，目前主要关注两方面的研究：一是税收对企业行为的影响，包括排污、投资、创新等；二是对中国官员选拔体制的研究。
沈靓,58a5c51ca00c099c3e2ff421,学生,上海交通大学,安泰经济与管理学院,Business Administation / Management Science,Ta很懒什么都没留下,
赵晓繁,58a51b3aa00c099c3e2ff3f6,学生,南开大学,周恩来政府管理学院,Psychology,南开大学应用心理学研究僧,"学校经历：
本科，河北师范大学，基础心理学
研究生，南开大学，应用心理学
研究经历：
本科，曾与同窗参加挑战杯项目，研究拖延症。
研究生，目前在医患关系课题组。"
冯文娜,58a4731a4b7e7fb63e62cbbe,副教授,山东大学,管理学院,Business Administation / Management Science,关注企业成长问题,长期从事产业组织与企业成长方向的研究
